perro,fecha,min_reposo,min_calma,min_activo,min_intenso,min_sin_datos,min_otros,ladridos_total,ladridos_franjas,ladridos_max_30min,fc_media,fc_min,fc_max,fc_n,fr_media,fr_min,fr_max,fr_n,temp_disp_media,temp_disp_max,dia_semana,es_finde,mes
cherry,2026-05-06,936.0499999999961,60.1666666666661,107.0333333333314,0.0,336.1833333333377,0.5666666666666667,233.0,18.0,82.0,56.0958904109589,51.0,88.0,73.0,9.866028708133971,5.0,19.0,209.0,21.714285714285715,36,Wednesday,False,5
cherry,2026-05-07,1018.4999999999977,47.16666666666627,88.18333333333206,0.0,285.95000000000476,0.2,156.0,18.0,66.0,57.0,51.0,84.0,74.0,9.938628158844764,6.0,21.0,277.0,22.25,30,Thursday,False,5
cherry,2026-05-08,955.8833333333324,55.849999999999326,115.59999999999764,0.0,312.21666666667403,0.44999999999999996,92.0,7.0,45.0,57.13461538461539,51.0,84.0,52.0,9.167441860465116,6.0,22.0,215.0,18.8,33,Friday,False,5
cherry,2026-05-09,785.833333333332,58.39999999999942,136.36666666666525,0.0,459.26666666667563,0.13333333333333333,17.0,8.0,9.0,59.540983606557376,50.0,92.0,61.0,8.519417475728156,5.0,20.0,206.0,27.75,30,Saturday,True,5
cherry,2026-05-10,797.7166666666647,46.31666666666642,93.6333333333319,87.61666666666666,413.9666666666715,0.7500000000000001,54.0,11.0,12.0,61.282051282051285,50.0,88.0,39.0,8.426829268292684,5.0,15.0,164.0,24.91176470588235,45,Sunday,True,5
cherry,2026-05-11,948.4333333333307,57.49999999999942,115.68333333333109,0.0,317.4333333333385,0.9500000000000001,368.0,11.0,201.0,57.2,51.0,77.0,60.0,9.336585365853658,5.0,19.0,205.0,29.666666666666668,37,Monday,False,5
cherry,2026-05-12,1034.3833333333318,43.949999999999754,99.66666666666515,0.0,261.78333333333745,0.21666666666666667,29.0,8.0,12.0,55.91525423728814,51.0,67.0,59.0,9.702341137123746,6.0,19.0,299.0,22.6,33,Tuesday,False,5
cherry,2026-05-13,904.6333333333315,47.66666666666632,114.06666666666449,0.0,373.20000000000783,0.43333333333333335,90.0,11.0,67.0,59.15,51.0,88.0,40.0,11.272030651340996,6.0,30.0,261.0,22.210526315789473,31,Wednesday,False,5
cherry,2026-05-14,985.3499999999972,52.68333333333294,98.0999999999985,0.0,303.58333333333934,0.2833333333333333,371.0,10.0,111.0,56.94642857142857,51.0,84.0,56.0,9.701244813278008,6.0,24.0,241.0,30.0,32,Thursday,False,5
cherry,2026-05-15,961.8499999999973,52.399999999999416,107.16666666666471,0.0,318.03333333333893,0.55,986.0,20.0,255.0,60.282051282051285,51.0,88.0,78.0,10.300492610837438,6.0,23.0,203.0,23.5,27,Friday,False,5
cherry,2026-05-16,922.6499999999985,46.78333333333299,99.79999999999825,0.0,370.466666666673,0.3,529.0,14.0,255.0,59.72727272727273,51.0,96.0,77.0,9.576190476190476,5.0,27.0,210.0,22.375,29,Saturday,True,5
cherry,2026-05-17,896.4833333333308,43.74999999999976,125.5333333333312,0.0,374.03333333334064,0.2,303.0,10.0,162.0,56.19672131147541,51.0,70.0,61.0,9.817427385892117,5.0,18.0,241.0,26.666666666666668,33,Sunday,True,5
cherry,2026-05-18,929.5833333333305,52.383333333332914,101.58333333333148,0.0,356.18333333333936,0.26666666666666666,209.0,13.0,72.0,59.871428571428574,51.0,151.0,70.0,9.963190184049079,5.0,17.0,163.0,27.5,28,Monday,False,5
cherry,2026-05-19,822.6499999999975,61.61666666666612,124.23333333333115,0.0,431.2166666666741,0.2833333333333333,144.0,11.0,60.0,66.44117647058823,51.0,130.0,34.0,10.420731707317072,5.0,20.0,164.0,23.8125,30,Tuesday,False,5
cherry,2026-05-20,973.383333333331,47.64999999999967,100.28333333333151,0.0,318.5833333333385,0.1,78.0,10.0,28.0,62.121212121212125,51.0,151.0,66.0,10.511415525114156,7.0,35.0,219.0,28.285714285714285,34,Wednesday,False,5
cherry,2026-05-21,875.7666666666624,46.08333333333307,109.23333333333106,0.0,408.43333333333914,0.4833333333333333,67.0,8.0,16.0,62.61764705882353,52.0,80.0,34.0,10.942408376963352,7.0,26.0,191.0,26.5,30,Thursday,False,5
cherry,2026-05-22,1042.9833333333313,41.28333333333315,83.7499999999992,0.0,271.68333333333726,0.30000000000000004,18.0,8.0,6.0,57.68493150684932,51.0,80.0,73.0,10.029661016949152,6.0,19.0,236.0,25.2,31,Friday,False,5
cherry,2026-05-23,958.399999999997,43.56666666666643,94.29999999999869,0.0,343.45000000000675,0.2833333333333333,285.0,14.0,132.0,57.13636363636363,51.0,96.0,66.0,10.489270386266094,6.0,24.0,233.0,29.833333333333332,36,Saturday,True,5
cherry,2026-05-24,919.0499999999964,47.249999999999666,107.23333333333152,0.0,366.0500000000074,0.41666666666666663,83.0,12.0,19.0,56.93650793650794,51.0,84.0,63.0,10.783898305084746,7.0,35.0,236.0,27.555555555555557,35,Sunday,True,5
cherry,2026-05-25,925.5833333333305,51.599999999999625,106.69999999999817,0.0,355.8166666666709,0.3,159.0,15.0,47.0,60.85964912280702,51.0,130.0,57.0,11.073684210526316,7.0,24.0,190.0,29.5,39,Monday,False,5
cherry,2026-05-26,882.0833333333318,48.31666666666632,108.34999999999788,0.0,400.95000000000596,0.3,246.0,15.0,92.0,61.30882352941177,51.0,90.0,68.0,11.314655172413794,7.0,24.0,232.0,28.8,35,Tuesday,False,5
cherry,2026-05-27,989.266666666665,48.749999999999716,92.53333333333187,0.0,308.93333333333845,0.5166666666666667,32.0,7.0,9.0,57.63076923076923,51.0,72.0,65.0,11.12135922330097,5.0,26.0,206.0,29.4,30,Wednesday,False,5
cherry,2026-05-28,989.8666666666649,39.66666666666671,81.68333333333224,0.0,327.7333333333382,1.05,45.0,10.0,18.0,57.43037974683544,51.0,77.0,79.0,12.036437246963562,6.0,32.0,247.0,29.5,33,Thursday,False,5
cherry,2026-05-29,930.8499999999983,45.966666666666484,120.33333333333172,0.0,341.80000000000774,1.0500000000000003,193.0,14.0,134.0,57.883116883116884,51.0,80.0,77.0,12.327402135231317,5.0,24.0,281.0,29.75,31,Friday,False,5
cherry,2026-05-30,1051.9166666666667,39.33333333333331,74.54999999999949,0.0,273.66666666667066,0.5333333333333333,42.0,8.0,20.0,57.23809523809524,51.0,101.0,105.0,12.564102564102564,7.0,22.0,273.0,32.666666666666664,33,Saturday,True,5
cherry,2026-05-31,919.0999999999995,40.98333333333325,97.54999999999833,0.0,381.3666666666724,1.0,86.0,16.0,18.0,59.041666666666664,51.0,121.0,72.0,12.805194805194805,6.0,35.0,231.0,28.40909090909091,31,Sunday,True,5
cherry,2026-06-01,958.6999999999998,42.28333333333331,81.19999999999897,0.0,357.4833333333388,0.3333333333333333,64.0,15.0,16.0,60.46666666666667,51.0,101.0,90.0,14.057017543859649,7.0,37.0,228.0,30.38888888888889,35,Monday,False,6
cherry,2026-06-02,895.8999999999985,54.749999999999424,110.83333333333117,0.0,378.11666666667315,0.4,140.0,12.0,52.0,58.94915254237288,51.0,140.0,59.0,12.37603305785124,6.0,22.0,242.0,26.363636363636363,32,Tuesday,False,6
cherry,2026-06-03,1006.699999999999,35.43333333333342,99.74999999999885,0.0,297.1000000000054,1.0166666666666666,247.0,9.0,187.0,58.17857142857143,51.0,75.0,56.0,11.746153846153845,6.0,26.0,260.0,25.0,27,Wednesday,False,6
cherry,2026-06-04,914.3333333333313,49.04999999999967,103.13333333333188,0.0,373.0500000000061,0.4333333333333333,262.0,19.0,82.0,59.65979381443299,51.0,88.0,97.0,12.720472440944881,6.0,35.0,254.0,26.75,33,Thursday,False,6
cherry,2026-06-05,980.5166666666655,46.24999999999967,94.34999999999845,0.0,317.41666666667203,1.4666666666666668,20.0,12.0,5.0,58.20454545454545,51.0,92.0,88.0,12.090592334494774,7.0,27.0,287.0,26.8,30,Friday,False,6
cherry,2026-06-06,1037.516666666665,41.73333333333325,79.23333333333252,0.0,281.2166666666702,0.3,210.0,14.0,65.0,57.41025641025641,51.0,114.0,78.0,11.625954198473282,6.0,32.0,262.0,27.25,30,Saturday,True,6
cherry,2026-06-07,1053.9499999999994,35.46666666666676,83.56666666666572,0.0,266.3166666666713,0.7,331.0,13.0,74.0,59.29245283018868,51.0,84.0,106.0,11.774809160305344,6.0,21.0,262.0,32.5,36,Sunday,True,6
cherry,2026-06-08,1020.0999999999993,38.90000000000001,72.21666666666606,0.0,307.86666666667105,0.9166666666666667,71.0,9.0,19.0,59.75675675675676,51.0,88.0,74.0,12.100746268656716,5.0,27.0,268.0,30.0,33,Monday,False,6
cherry,2026-06-09,955.3166666666652,35.250000000000085,96.28333333333197,0.0,352.6666666666715,0.4833333333333333,109.0,11.0,30.0,57.44117647058823,51.0,75.0,68.0,12.106666666666667,7.0,35.0,225.0,31.423076923076923,44,Tuesday,False,6
cherry,2026-06-10,436.6500000000007,30.500000000000107,65.76666666666642,0.0,906.9333333333085,0.15,74.0,9.0,41.0,62.54,51.0,84.0,50.0,17.81,10.0,32.0,100.0,26.64516129032258,34,Wednesday,False,6
cherry,2026-06-11,986.7166666666672,45.299999999999805,94.94999999999867,0.0,312.48333333333943,0.5499999999999999,183.0,9.0,83.0,56.8,51.0,88.0,95.0,12.772893772893774,6.0,28.0,273.0,28.4,32,Thursday,False,6
